Date,Open,High,Low,Close,Volume,Adj Close
3/31/2015,48.8,48.95,48.5,48.8,25800300,48.48
3/30/2015,49.45,49.45,48.7,49.25,22478900,48.927
3/27/2015,49.1,49.2,48.55,48.85,14757300,48.53
3/26/2015,48.95,49,48.2,48.9,17170300,48.579
3/25/2015,47.9,48.95,47.85,48.9,19882000,48.579
3/24/2015,47.5,48.2,47.5,47.9,16586500,47.586
3/23/2015,48.75,48.75,47.75,47.95,11721600,47.636
3/20/2015,48.7,48.7,47.8,48,17581800,47.685
3/19/2015,47.85,48.3,47.35,48.2,33490200,47.884
3/18/2015,46.35,46.9,46.35,46.75,27782700,46.443
3/17/2015,48.3,48.3,46.55,46.7,23446500,46.394
3/16/2015,47.1,47.4,46.7,47.3,15099200,46.99
3/13/2015,47,47.4,46.55,46.65,18862300,46.344
3/12/2015,47.3,47.3,46.75,47.15,20050400,46.841
3/11/2015,47.9,47.9,46.85,47.1,23113600,46.791
3/10/2015,48.6,48.7,47.1,47.15,31214100,46.841
3/9/2015,48,48.4,48,48.25,21527400,47.934
3/6/2015,48.55,49.1,48.25,48.55,31084200,48.232
3/5/2015,47.25,48.45,47.25,47.6,40383400,47.288
3/4/2015,48.5,49.65,48.35,48.85,49840300,48.53
3/3/2015,48.15,48.7,47.8,48.35,39972200,48.033
3/2/2015,46.45,47.6,46.05,47.35,46359400,47.04
2/27/2015,46.4,46.45,45.5,45.65,37496400,45.351
2/26/2015,46.2,46.45,45.7,45.75,38059300,45.45
2/25/2015,46,46.35,45.3,45.7,31726400,45.4
2/24/2015,44.95,45.7,44.8,45.6,24394200,45.301
2/23/2015,44.95,44.95,44.35,44.55,18631600,44.258
2/20/2015,44.5,44.5,44.5,44.5,0,44.208
2/19/2015,44.5,44.5,44.5,44.5,0,44.208
2/18/2015,44.35,44.8,44.35,44.5,11911700,44.208
2/17/2015,44.5,44.7,44.35,44.45,15812900,44.159
2/16/2015,44.9,44.95,44.45,44.5,12649600,44.208
2/13/2015,43.75,44.6,43.75,44.45,17824700,44.159
2/12/2015,43.7,44.25,43.65,43.8,23050100,43.513
2/11/2015,43.9,44.2,43.6,43.9,24007100,43.612
2/10/2015,44.1,44.45,43.7,44.2,17748700,43.91
2/9/2015,43.6,44.6,43.6,44.35,15511200,44.059
2/6/2015,44.5,44.6,44.15,44.2,16160100,43.91
2/5/2015,44.9,44.95,44.2,44.5,15154800,44.208
2/4/2015,45.55,45.55,44.4,44.55,21114200,44.258
2/3/2015,45.35,45.35,44.25,44.65,26843700,44.357
2/2/2015,45.05,45.45,45,45.2,13758800,44.904
1/30/2015,45.9,45.9,45.2,45.25,18967300,44.953
1/29/2015,45.8,46.1,45.05,45.1,26128600,44.804
1/28/2015,45.8,46.45,45.25,46.35,31083300,46.046
1/27/2015,45.3,45.8,44.7,45.75,21142800,45.45
1/26/2015,44.5,45.45,44.4,45.4,25233500,45.102
1/23/2015,45.35,45.5,44.85,44.95,36350200,44.655
1/22/2015,44.6,45.15,44.45,45.05,18109000,44.755
1/21/2015,44.8,44.95,44.45,44.8,15741200,44.506
1/20/2015,44.65,45.1,44.3,44.6,22157800,44.308
1/19/2015,44.2,45.25,44.2,44.85,33957300,44.556
1/16/2015,44.35,44.95,44.25,44.65,26996100,44.357
1/15/2015,44.3,45,44.1,45,31115600,44.705
1/14/2015,44.1,44.4,43.8,44,29695400,43.711
1/13/2015,42.7,44,42.7,43.9,20216900,43.612
1/12/2015,42.8,43.5,42.55,43,10693700,42.718
1/9/2015,43.45,43.45,42.4,42.95,16181300,42.668
1/8/2015,42.5,42.8,42.1,42.7,20412400,42.42
1/7/2015,41.4,42.2,40.7,42.05,42739100,41.774
1/6/2015,42.6,42.95,41.8,42,30608900,41.725
1/5/2015,44.05,44.15,43.05,43.15,17019800,42.867
1/2/2015,43.6,44,43.2,43.95,14715400,43.662
1/1/2015,43.15,43.15,43.15,43.15,0,42.867
12/31/2014,42.65,43.3,42.6,43.15,8421600,42.867
12/30/2014,44,44,42.7,43.05,15430300,42.768
12/29/2014,43.65,44,43.6,43.8,20624800,43.513
12/26/2014,43,43,43,43,0,42.718
12/25/2014,43,43,43,43,0,42.718
12/24/2014,42.85,43.3,42.55,43,11530800,42.718
12/23/2014,42.3,42.8,42.1,42.65,18548500,42.37
12/22/2014,42.4,42.6,41.4,41.9,30799400,41.625
12/19/2014,42.8,42.8,42.15,42.5,36222300,42.221
12/18/2014,41.8,41.85,41.05,41.1,28925000,40.83
12/17/2014,41.55,42.3,40.85,40.95,32238200,40.681
12/16/2014,42.7,42.9,41.65,41.75,30198300,41.476
12/15/2014,42.55,42.9,42.3,42.65,20235900,42.37
12/12/2014,43.2,43.85,43.05,43.2,18139900,42.917
12/11/2014,43,43.4,42.8,43,22495000,42.718
12/10/2014,44.05,44.3,43.45,43.9,19601700,43.612
12/9/2014,43.7,44.45,43.3,43.65,24760200,43.364
12/8/2014,44.65,44.8,43.3,43.45,27224000,43.165
12/5/2014,44.45,45.2,44.1,44.6,29153600,44.308
12/4/2014,43.05,44,43.05,43.9,18922200,43.612
12/3/2014,43.45,43.95,43.1,43.15,27995600,42.867
12/2/2014,43.6,44.3,43.05,43.8,29012600,43.513
12/1/2014,44.6,44.6,43.25,43.4,30841900,43.115
11/28/2014,44.8,45.6,44.7,44.8,11285800,44.506
11/27/2014,45.05,45.6,44.7,44.95,16181600,44.655
11/26/2014,44.5,45.5,44.2,45.1,26631900,44.804
11/25/2014,43.95,44.8,43.8,44.45,23186800,44.159
11/24/2014,44.85,44.95,44.2,44.35,22156200,44.059
11/21/2014,43.6,44.1,43.4,43.95,12841500,43.662
11/20/2014,43.8,44.15,43.65,43.8,15295200,43.513
11/19/2014,43.7,44.35,43.3,44.05,19301600,43.761
11/18/2014,44.3,44.6,43.65,43.75,18652500,43.463
11/17/2014,45.5,45.65,44.35,44.4,18218300,44.109
11/14/2014,45.25,45.45,44.8,44.95,15091100,44.655
11/13/2014,44.8,45.15,44.65,45.05,19484400,44.755
11/12/2014,43.95,44.6,43.6,44.5,19290400,44.208
11/11/2014,43.5,44,43.4,43.85,16581600,43.562
11/10/2014,43.75,44.15,43.4,43.55,18188300,43.264
11/7/2014,43.3,43.6,42.7,42.95,20353200,42.668
11/6/2014,43.05,43.5,42.95,43.3,13728200,43.016
11/5/2014,43.2,43.25,42.5,43.05,12738400,42.768
11/4/2014,42.9,43.25,42.35,43.05,16924000,42.768
11/3/2014,43.45,43.75,43.1,43.25,13923600,42.966
10/31/2014,43.3,43.45,43,43.25,18326500,42.966
10/30/2014,43.25,43.45,42.5,42.75,13890700,42.47
10/29/2014,43,43.45,42.75,43.1,25204300,42.817
10/28/2014,42.2,42.7,41.8,42.6,28001700,42.321
10/27/2014,41.75,42.1,41.2,42,16933800,41.725
10/24/2014,42,42.05,41.55,41.95,12986100,41.675
10/23/2014,41.9,42.3,41.7,42.05,13379600,41.774
10/22/2014,41.75,42.1,41.45,42,17820400,41.725
10/21/2014,40.9,41.55,40.8,41.15,13792800,40.88
10/20/2014,41.6,41.8,40.8,40.9,26400300,40.632
10/17/2014,41.1,41.75,41.05,41.1,26814300,40.83
10/16/2014,41.3,41.9,41.3,41.5,23457200,41.228
10/15/2014,41.5,42.35,41.4,41.8,32247900,41.526
10/14/2014,41.55,42.2,41.25,41.35,23618700,41.079
10/13/2014,40.3,42.45,40.3,41.9,26637100,41.625
10/10/2014,41.5,41.55,41.05,41.2,27396700,40.93
10/9/2014,41.95,42.55,41.65,42.35,25312700,42.072
10/8/2014,40.95,41.65,40.95,41.15,15741000,40.88
10/7/2014,40.55,41.45,40.55,41.3,28472200,41.029
10/6/2014,40.65,41.35,40.2,40.95,30616400,40.681
10/3/2014,39.35,41.45,39.25,41.2,53745400,40.93
10/2/2014,40.15,40.15,40.15,40.15,0,39.887
10/1/2014,40.15,40.15,40.15,40.15,0,39.887
9/30/2014,39.7,40.3,39.1,40.15,47900700,39.887
9/29/2014,40.5,40.8,39.8,40.15,35271100,39.887
9/26/2014,40.8,41.3,40.6,41.2,21536100,40.93
9/25/2014,41.8,42.05,40.9,41,28081700,40.731
9/24/2014,41.7,42.35,41.45,41.6,20781000,41.327
9/23/2014,41.65,42.3,41.4,41.55,17745600,41.278
9/22/2014,42.05,42.25,41.55,41.6,19758500,41.327
9/19/2014,41.5,43,41.1,42.75,32473900,42.47
9/18/2014,41.9,42.15,41.15,41.75,24508000,41.476
9/17/2014,42.15,42.4,41.9,42.1,22001000,41.824
9/16/2014,42,42.8,41.85,42.15,11451700,41.874
9/15/2014,42.5,42.95,42.15,42.25,11681300,41.973
9/12/2014,42.6,42.85,42.3,42.75,11465300,42.47
9/11/2014,42.75,43.15,42.55,42.95,12699500,42.668
9/10/2014,42.5,42.8,42.3,42.6,15373300,42.321
9/9/2014,42.95,42.95,42.95,42.95,0,42.668
9/8/2014,43.2,43.2,42.5,42.95,16523000,42.668
9/5/2014,43.3,43.6,43.15,43.3,13157100,43.016
9/4/2014,43.7,43.85,42.8,43.45,27887800,43.165
9/3/2014,43.05,44,42.7,44,22422800,43.711
9/2/2014,43,43.2,42.35,42.75,16447900,42.47
9/1/2014,42,43.55,42,43.05,19577200,42.768
8/29/2014,42.95,42.95,42.1,42.3,17175400,42.023
8/28/2014,43.2,43.25,42.45,42.55,18422700,42.271
8/27/2014,43.15,43.2,42.85,42.9,18535300,42.619
8/26/2014,43.5,43.75,43.3,43.4,14070400,43.115
8/25/2014,43.2,44.2,43,43.8,14752100,43.513
8/22/2014,43.15,43.45,42.9,43.35,16758000,43.066
8/21/2014,43.55,43.6,42.95,43.15,18590100,42.867
8/20/2014,43.7,44,43.1,43.9,23881900,43.612
8/19/2014,42.3,43.35,42.1,42.95,15919100,42.668
8/18/2014,42.7,42.8,42.15,42.4,18834800,42.122
8/15/2014,43.6,43.7,42.85,42.95,11887500,42.668
8/14/2014,43.5,43.8,43.25,43.4,17180500,43.115
8/13/2014,42.85,43.3,42.4,43.15,21526100,42.867
8/12/2014,42.25,42.8,42,42.75,20238100,42.47
8/11/2014,41.5,42.65,41.5,42.6,17593800,42.162
8/8/2014,41.65,41.9,41.15,41.4,14552500,40.974
8/7/2014,42,42,41.4,41.6,21383300,41.172
8/6/2014,42,42.15,41.7,42.05,9327700,41.617
8/5/2014,42.1,42.25,41.75,42,11300400,41.568
8/4/2014,42,42.25,41.7,42.05,14259100,41.617
8/1/2014,41.85,42.5,41.65,42.05,26301200,41.617
7/31/2014,41.35,42,41.3,41.85,20468600,41.419
7/30/2014,41.5,41.8,41.3,41.45,30042300,41.024
7/29/2014,41.8,41.8,41,41.55,24174100,41.123
7/28/2014,41.1,42.2,41.1,41.55,33132600,41.123
7/25/2014,42.3,42.3,40.85,41.4,42055600,40.974
7/24/2014,41.5,41.5,40.9,41.1,27405400,40.677
