Date,Open,High,Low,Close,Volume,Adj Close
3/31/2015,66.55,67.95,66.55,67.75,4219200,67.75
3/30/2015,66.6,67.5,66.5,66.9,2424000,66.9
3/27/2015,67,67.05,66.45,67,1654600,67
3/26/2015,66.4,67,66.4,66.95,2680800,66.95
3/25/2015,67,67,66.35,66.9,2281000,66.9
3/24/2015,65.8,66.85,65.7,66.75,3020900,66.75
3/23/2015,65.9,66.15,65.7,66,1866400,66
3/20/2015,66,66.4,65.25,65.5,3095800,65.5
3/19/2015,66,66.25,65.5,66.15,2140900,66.15
3/18/2015,65.6,65.9,65.15,65.7,2370200,65.7
3/17/2015,66,66,65.15,65.55,2108700,65.55
3/16/2015,64.9,65.75,64.75,65.55,2620300,65.55
3/13/2015,64.75,65.35,64.45,65.1,2865000,65.1
3/12/2015,66.2,66.2,64.25,64.55,3979500,64.55
3/11/2015,66,66.3,65.4,65.55,3036800,65.55
3/10/2015,66.75,67.2,66.75,67,3750100,66
3/9/2015,66.95,67.1,66.6,66.75,3759700,65.754
3/6/2015,67.3,67.5,67.1,67.2,4076100,66.197
3/5/2015,67.4,68.1,67.4,67.7,2438700,66.69
3/4/2015,68.05,68.45,67.5,67.65,2898000,66.64
3/3/2015,68.25,68.65,68,68.05,3266200,67.034
3/2/2015,69.5,69.5,68.3,68.5,4743800,67.478
2/27/2015,69.1,69.85,69.1,69.75,3260500,68.709
2/26/2015,69.3,69.5,68.6,69.3,2531100,68.266
2/25/2015,68.55,69.25,68,69.15,2531300,68.118
2/24/2015,69,69,67.7,68.4,2355200,67.379
2/23/2015,69.65,69.65,67.95,68.05,2447200,67.034
2/20/2015,68.15,68.15,68.15,68.15,0,67.133
2/19/2015,68.15,68.15,68.15,68.15,0,67.133
2/18/2015,67.8,68.2,67.45,68.15,1239700,67.133
2/17/2015,67,67.8,67,67.75,1954400,66.739
2/16/2015,67.25,67.7,67,67.2,2352000,66.197
2/13/2015,67.7,67.85,67.3,67.5,2081700,66.493
2/12/2015,67.75,67.75,67,67.3,2039800,66.296
2/11/2015,67.4,67.8,67.1,67.65,2513600,66.64
2/10/2015,68,68,67.2,67.4,1633300,66.394
2/9/2015,67.25,67.85,67.1,67.2,1365500,66.197
2/6/2015,68.6,68.6,67.6,67.7,1555700,66.69
2/5/2015,68.5,69,67.4,67.5,4607700,66.493
2/4/2015,67.5,69.2,67.5,68.25,3735800,67.231
2/3/2015,68.55,69.5,68.2,68.25,1751300,67.231
2/2/2015,69.5,69.5,68.55,69,3203000,67.97
1/30/2015,69.5,69.6,68.85,69.2,2270800,68.167
1/29/2015,69.45,69.5,69.05,69.5,2913500,68.463
1/28/2015,69.1,69.2,68.7,69.15,2117700,68.118
1/27/2015,68.4,69,68.4,69,2119600,67.97
1/26/2015,69,69,68.25,69,1832600,67.97
1/23/2015,68.2,68.8,68.1,68.75,2143300,67.724
1/22/2015,69,69,67.75,68.35,2461900,67.33
1/21/2015,68.6,68.75,67.95,68.65,2345300,67.625
1/20/2015,68.8,68.8,67.65,68.65,2804200,67.625
1/19/2015,68,68.5,67.5,68.5,3832400,67.478
1/16/2015,68.15,68.25,67.7,68.15,3232700,67.133
1/15/2015,67.25,68.3,67.25,67.95,4173600,66.936
1/14/2015,67.75,67.8,67.35,67.75,2890600,66.739
1/13/2015,66.95,67.55,66.95,67.45,2397300,66.443
1/12/2015,67.1,67.2,66.55,67.15,1566400,66.148
1/9/2015,67,67.15,66.6,66.8,2613300,65.803
1/8/2015,65.75,66.85,65.65,66.1,2053300,65.113
1/7/2015,66,66.05,65.35,65.85,2347200,64.867
1/6/2015,65.75,66.2,65.4,65.5,3623100,64.522
1/5/2015,66.5,66.9,66,66.1,2155900,65.113
1/2/2015,67,67.45,66.4,67.25,1649300,66.246
1/1/2015,67.25,67.25,67.25,67.25,0,66.246
12/31/2014,67.2,67.4,66.85,67.25,649500,66.246
12/30/2014,67.9,67.9,66.75,67.1,1785100,66.099
12/29/2014,67.3,67.9,67.05,67.75,3294500,66.739
12/26/2014,67.45,67.45,67.45,67.45,0,66.443
12/25/2014,67.45,67.45,67.45,67.45,0,66.443
12/24/2014,66.7,67.5,66.55,67.45,2773300,66.443
12/23/2014,66.8,66.8,66.25,66.4,1709100,65.409
12/22/2014,65.9,66.5,65.5,66.5,2164400,65.507
12/19/2014,65.6,65.65,65.05,65.5,2785500,64.522
12/18/2014,64.6,65.1,64.1,64.85,3533000,63.882
12/17/2014,65.3,65.3,64.6,64.75,2561200,63.784
12/16/2014,66.1,66.1,64.65,64.8,3292700,63.833
12/15/2014,65.35,65.4,64.85,64.9,1992500,63.931
12/12/2014,65.2,65.85,65.2,65.55,1875200,64.572
12/11/2014,65.9,65.9,65,65.4,2340300,64.424
12/10/2014,65.65,66.15,65.4,65.45,2391600,64.473
12/9/2014,66.05,66.55,65.8,66,1933300,65.015
12/8/2014,66.95,66.95,66.15,66.2,1325700,65.212
12/5/2014,65.8,66.9,65.8,66.8,3282100,65.803
12/4/2014,66.35,66.35,65.4,65.95,2174200,64.966
12/3/2014,66.25,66.6,65.65,65.75,1607000,64.769
12/2/2014,66.1,66.6,65.9,66.55,2252400,65.557
12/1/2014,67,67.3,66.1,66.2,4657300,64.68
11/28/2014,67.35,67.65,67,67.45,1698100,65.901
11/27/2014,67.35,67.45,66.65,66.85,1941300,65.315
11/26/2014,67,67.5,66.6,67.45,2818700,65.901
11/25/2014,66.4,66.85,66.35,66.65,2714400,65.12
11/24/2014,66.1,66.95,66.1,66.55,2208700,65.022
11/21/2014,66.15,66.45,65.8,66.35,1626100,64.827
11/20/2014,67.2,67.2,66,66.15,2011400,64.631
11/19/2014,67,67,66.35,66.6,1686100,65.071
11/18/2014,67.35,67.9,66.45,66.5,2029800,64.973
11/17/2014,68.35,68.35,67.35,67.55,1870300,65.999
11/14/2014,67.2,68,67.05,67.95,2117600,66.39
11/13/2014,67.7,68,67.25,68,2024500,66.439
11/12/2014,67.7,67.75,67.05,67.35,2233500,65.804
11/11/2014,67.85,67.85,67.2,67.6,2550200,66.048
11/10/2014,67.9,68,67,67.35,2724000,65.804
11/7/2014,67.25,67.25,66.55,67.15,2620900,65.608
11/6/2014,67.05,67.2,66.5,67.1,1602000,65.559
11/5/2014,66.55,67,66.55,67,3668100,65.462
11/4/2014,66.6,66.95,66.2,66.6,2207400,65.071
11/3/2014,66.95,66.95,66.4,66.5,1214400,64.973
10/31/2014,66.6,66.8,66.2,66.75,3731300,65.217
10/30/2014,66.6,66.6,66.15,66.45,2030600,64.924
10/29/2014,66.25,66.5,65.85,66.4,3628100,64.875
10/28/2014,64.85,66.25,64.85,66.15,2959300,64.631
10/27/2014,65.5,65.5,64.85,65.05,1212300,63.556
10/24/2014,65.25,65.4,64.5,65.35,1740400,63.85
10/23/2014,65.65,65.9,65.25,65.45,1501000,63.947
10/22/2014,65.7,66,65.35,65.95,2650900,64.436
10/21/2014,65.2,65.6,64.7,65.55,1854600,64.045
10/20/2014,65.2,65.5,65.05,65.2,2136500,63.703
10/17/2014,64.95,65.25,64.6,64.95,2180100,63.459
10/16/2014,64.8,65.45,64.65,65.25,2971000,63.752
10/15/2014,64.95,65.3,64.5,65.2,2543800,63.703
10/14/2014,64.4,64.95,64.25,64.7,2555900,63.214
10/13/2014,63.45,64.9,63.45,64.85,2803100,63.361
10/10/2014,64.05,64.3,63.55,63.7,1722000,62.237
10/9/2014,64.15,64.6,63.85,64.5,2269100,63.019
10/8/2014,64.1,64.1,63.6,63.9,2692900,62.433
10/7/2014,63.2,64.1,63,64.05,4058800,62.579
10/6/2014,62.35,63.25,62,62.7,3656700,61.26
10/3/2014,61.9,63.25,61.8,62.6,5583500,61.163
10/2/2014,62.35,62.35,62.35,62.35,0,60.918
10/1/2014,62.35,62.35,62.35,62.35,0,60.918
9/30/2014,62.75,62.95,62.05,62.35,4036000,60.918
9/29/2014,63.5,63.6,62.7,62.75,3429900,61.309
9/26/2014,63.15,64.1,63.1,63.85,1682400,62.384
9/25/2014,63.6,63.95,63.1,63.15,2151400,61.7
9/24/2014,63.6,64,63.5,63.65,1746000,62.189
9/23/2014,64.05,64.1,63.6,63.8,1557900,62.335
9/22/2014,63.6,63.85,63.4,63.6,2573800,62.14
9/19/2014,64.75,64.85,63.85,63.9,3269000,62.433
9/18/2014,65,65.15,64.35,64.5,2018700,63.019
9/17/2014,64.95,65.25,64.7,64.75,2873200,63.263
9/16/2014,64.5,64.75,64.2,64.55,1229400,63.068
9/15/2014,64.95,65.2,64.4,64.45,1515700,62.97
9/12/2014,65.25,65.25,64.7,64.95,1411400,63.459
9/11/2014,65.8,65.85,64.9,65,1976400,63.508
9/10/2014,65.85,66.15,65.3,65.4,2346800,63.898
9/9/2014,65.9,65.9,65.9,65.9,0,64.387
9/8/2014,66.7,66.75,65.85,65.9,1669100,64.387
9/5/2014,66.8,66.8,66.2,66.4,1600200,64.875
9/4/2014,67,67,66.2,66.8,2012200,65.266
9/3/2014,66.35,67.35,65.9,67.2,3594800,65.657
9/2/2014,66,66.3,65.8,66.25,1348600,64.729
9/1/2014,66,66.85,65.8,66.3,2416400,64.25
8/29/2014,66.35,66.5,65.5,65.6,3537500,63.572
8/28/2014,66.7,67,66.2,66.35,2649700,64.299
8/27/2014,67.5,67.5,66.85,67,1703800,64.928
8/26/2014,67.3,67.7,66.95,67.35,1725900,65.268
8/25/2014,67.5,67.75,66.9,67.5,1698100,65.413
8/22/2014,67.4,67.8,67.35,67.75,2542300,65.655
8/21/2014,67.1,67.5,66.45,67.45,2818700,65.365
8/20/2014,67,67.5,66.7,67.45,5138800,65.365
8/19/2014,65.9,66.75,65.55,66.7,4044900,64.638
8/18/2014,65.1,65.8,65.1,65.7,2163600,63.669
8/15/2014,65.45,65.5,65.05,65.35,2593800,63.329
8/14/2014,64.7,65.6,64.4,65.45,4564200,63.426
8/13/2014,64.65,64.75,64.2,64.7,1356900,62.7
8/12/2014,64.25,64.6,64.2,64.5,1092000,62.506
8/11/2014,64.65,64.7,64.3,64.45,1029400,62.457
8/8/2014,64.2,64.8,64.2,64.35,2177200,62.36
8/7/2014,63.9,64.5,63.85,64.4,1902800,62.409
8/6/2014,63.65,64.3,63.65,64.1,1957800,62.118
8/5/2014,63.7,63.95,63.55,63.65,2226200,61.682
8/4/2014,64.45,64.5,63.8,63.85,1802100,61.876
8/1/2014,64.2,64.65,64.1,64.2,1878600,62.215
7/31/2014,64.3,64.7,64.3,64.55,3002300,62.554
7/30/2014,64,64.5,63.85,64.45,3713000,62.457
7/29/2014,64,64.1,63.65,64,1955400,62.021
7/28/2014,63.9,64,63.65,63.8,1071900,61.827
7/25/2014,63.9,64.15,63.65,64,3653900,62.021
7/24/2014,63.5,63.9,63.5,63.8,1225000,61.827
7/23/2014,63.9,63.95,63.35,63.9,1618200,61.924
7/22/2014,63.8,63.95,63.45,63.85,1779900,61.876
7/21/2014,63.8,63.9,63.4,63.5,882800,61.537
7/18/2014,63.45,63.9,63.2,63.85,1700600,61.876
7/17/2014,63.95,63.95,63.45,63.7,707600,61.73
7/16/2014,63.6,63.8,63.45,63.8,845400,61.827
7/15/2014,63.8,63.8,63.4,63.75,1049100,61.779
7/14/2014,63.6,63.9,63.4,63.75,1003300,61.779
7/11/2014,63.15,63.9,63.15,63.55,2569800,61.585
7/10/2014,63,63.3,62.85,63,954400,61.052
7/9/2014,63.9,63.9,62.9,63,1516600,61.052
7/8/2014,63.8,63.85,63.55,63.8,1438800,61.827
7/7/2014,63.4,63.7,63.25,63.7,894900,61.73
7/4/2014,63.65,63.85,63.35,63.4,1014100,61.44
7/3/2014,64,64,63.45,63.75,1889300,61.779
7/2/2014,63.9,63.9,63.35,63.7,3687500,61.73
7/1/2014,63.6,63.6,63.6,63.6,0,61.634
6/30/2014,63.9,63.9,62.9,63.6,2470500,61.634
6/27/2014,63.4,63.9,63.4,63.9,1709100,61.924
6/26/2014,63.25,63.95,63.05,63.85,1803600,61.876
6/25/2014,62.75,63.1,62.7,63,1472700,61.052
6/24/2014,62.8,63.15,62.4,63,1807000,61.052
6/23/2014,63.8,64.1,62.25,62.3,3407800,60.374
6/20/2014,63.45,64,63.3,63.4,1797900,61.44
6/19/2014,64.1,64.1,63.45,63.6,2286900,61.634
6/18/2014,63.65,63.85,63.2,63.75,1745900,61.779
6/17/2014,63.6,63.6,63.1,63.45,1416500,61.488
6/16/2014,63.65,63.65,63.05,63.25,1497100,61.294
6/13/2014,63.7,64,63.25,63.6,1730000,61.634
6/12/2014,63.5,63.7,63.15,63.35,1694800,61.391
6/11/2014,64,64,63.2,63.6,1713700,61.634
6/10/2014,64.4,64.4,63.7,63.9,3047900,61.924
6/9/2014,63.75,63.8,62.8,63.45,1891900,61.488
6/6/2014,64.6,64.6,62.95,62.95,3152000,61.004
6/5/2014,64.75,64.75,64,64.05,1677700,62.07
6/4/2014,64.4,64.5,64.25,64.4,2942800,62.409
6/3/2014,65.2,65.2,64,64.45,6765400,62.457
6/2/2014,63.8,63.8,63.8,63.8,0,61.827
5/30/2014,63.5,63.95,63.1,63.8,9206500,61.827
5/29/2014,63.75,64,63.55,63.8,2374400,61.304
5/28/2014,63.85,64,63.65,63.85,3966100,61.352
5/27/2014,63.8,64,63.75,63.9,3174100,61.4
5/26/2014,63.6,63.85,63.2,63.65,1625900,61.16
5/23/2014,63.4,63.7,63.2,63.55,1593900,61.064
5/22/2014,63.65,63.75,63.35,63.6,1553200,61.112
5/21/2014,63.5,63.65,63.35,63.55,1947800,61.064
5/20/2014,63.45,63.65,63.25,63.55,2867300,61.064
5/19/2014,63.4,63.45,62.95,63.4,2164200,60.92
5/16/2014,63,63.35,62.85,63.25,2378900,60.776
5/15/2014,63,63.5,62.5,63.4,5356100,60.92
5/14/2014,62.65,62.65,62,62.65,2207300,60.199
5/13/2014,62.95,62.95,61.5,62.45,2470800,60.007
5/12/2014,61.85,62.5,61.75,62.45,4429500,60.007
5/9/2014,61.55,61.8,61.3,61.65,1542900,59.238
5/8/2014,62.2,62.2,61.6,62.1,3709900,59.671
5/7/2014,61,61.8,60.6,61.7,3361300,59.286
5/6/2014,61,61,61,61,0,58.614
5/5/2014,61.75,62.2,61,61,2041200,58.614
5/2/2014,61.7,62.2,61.1,62.05,1981200,59.623
5/1/2014,62,62,62,62,0,59.575
4/30/2014,62.25,62.25,61.45,62,2869500,59.575
