Date,Open,High,Low,Close,Volume,Adj Close
3/31/2015,17.82,18,17.76,17.94,2892700,17.689
3/30/2015,17.56,18.14,17.56,17.78,5938600,17.531
3/27/2015,17.8,17.8,17.54,17.74,1553800,17.491
3/26/2015,17.66,17.78,17.46,17.6,2700200,17.353
3/25/2015,17.82,17.82,17.62,17.68,1760500,17.432
3/24/2015,17.5,17.8,17.5,17.76,2645900,17.511
3/23/2015,17.72,17.78,17.54,17.58,2268900,17.334
3/20/2015,17.1,17.9,16.98,17.6,7134100,17.353
3/19/2015,16.9,17.16,16.8,17.08,3236800,16.841
3/18/2015,17,17.2,16.78,16.94,3348500,16.703
3/17/2015,16.7,17.28,16.7,17.04,5859600,16.801
3/16/2015,16.72,16.76,16.52,16.68,1617600,16.446
3/13/2015,16.62,16.62,16.36,16.6,2379600,16.367
3/12/2015,16.32,16.66,16.32,16.48,1595200,16.249
3/11/2015,16.24,16.48,16.24,16.38,2524800,16.151
3/10/2015,16.44,16.56,16.3,16.34,2784200,16.111
3/9/2015,16.58,16.62,16.24,16.38,3812200,16.151
3/6/2015,16.64,16.76,16.58,16.66,3080700,16.427
3/5/2015,17,17.04,16.64,16.74,3574500,16.505
3/4/2015,17.2,17.24,17,17.06,2032500,16.821
3/3/2015,17.34,17.44,17.2,17.22,1151100,16.979
3/2/2015,17.5,17.5,17.18,17.34,1735700,17.097
2/27/2015,17.4,17.52,17.3,17.4,3019200,17.156
2/26/2015,17.34,17.46,17.14,17.32,2224700,17.077
2/25/2015,17.06,17.38,16.96,17.16,1878000,16.92
2/24/2015,17.02,17.1,16.94,17.08,2314400,16.841
2/23/2015,17.16,17.16,17,17.04,2910300,16.801
2/20/2015,17.18,17.18,17.18,17.18,0,16.939
2/19/2015,17.18,17.18,17.18,17.18,0,16.939
2/18/2015,17.16,17.24,17.1,17.18,1541600,16.939
2/17/2015,17.02,17.16,17.02,17.12,1309900,16.88
2/16/2015,17.06,17.3,17.02,17.08,1627400,16.841
2/13/2015,17.12,17.26,17.06,17.2,1909500,16.959
2/12/2015,17.62,17.62,17.1,17.1,3065500,16.86
2/11/2015,17.3,17.48,17.2,17.44,3520300,17.196
2/10/2015,17.2,17.2,16.88,17.12,3148600,16.88
2/9/2015,17.22,17.4,17.08,17.1,2562400,16.86
2/6/2015,17.58,17.58,17.26,17.36,3037700,17.117
2/5/2015,17.28,17.66,17.28,17.44,2719000,17.196
2/4/2015,17.26,17.42,17.02,17.38,2640100,17.137
2/3/2015,17.9,18.04,17.32,17.32,6610900,17.077
2/2/2015,18.12,18.28,17.8,17.98,2005100,17.728
1/30/2015,18.02,18.18,18,18.1,5707300,17.846
1/29/2015,17.9,18.1,17.9,18,3070100,17.748
1/28/2015,17.9,18.04,17.8,17.96,2382500,17.708
1/27/2015,18.28,18.28,17.82,17.92,2349200,17.669
1/26/2015,18.28,18.28,18.08,18.12,4092400,17.866
1/23/2015,17.42,18.3,17.24,18.28,15175800,18.024
1/22/2015,17.42,17.46,17.24,17.26,4835000,17.018
1/21/2015,17.08,17.32,17.06,17.2,3550400,16.959
1/20/2015,17,17,16.8,16.96,2336600,16.722
1/19/2015,17.4,17.4,16.7,16.92,5555500,16.683
1/16/2015,17.38,17.56,17.38,17.4,3760200,17.156
1/15/2015,17.74,17.74,17.56,17.66,2018100,17.413
1/14/2015,17.8,17.8,17.36,17.74,5636000,17.491
1/13/2015,17.5,17.64,17.34,17.54,4448200,17.294
1/12/2015,17.48,17.6,17.3,17.48,3054000,17.235
1/9/2015,17.5,17.88,17.36,17.68,12974000,17.432
1/8/2015,17.06,17.28,16.94,17.18,16887000,16.939
1/7/2015,16.32,17.2,16.32,16.96,12965200,16.722
1/6/2015,16.5,16.66,16.22,16.34,7842400,16.111
1/5/2015,16.86,16.9,16.3,16.32,5969600,16.091
1/2/2015,16.86,16.9,16.76,16.88,1007800,16.644
1/1/2015,16.9,16.9,16.9,16.9,0,16.663
12/31/2014,16.7,16.92,16.68,16.9,1801700,16.663
12/30/2014,16.84,16.94,16.7,16.8,1814500,16.565
12/29/2014,16.7,16.86,16.68,16.7,2350600,16.466
12/26/2014,16.68,16.68,16.68,16.68,0,16.446
12/25/2014,16.68,16.68,16.68,16.68,0,16.446
