Date,Open,High,Low,Close,Volume,Adj Close
3/31/2015,162,162,157.4,158.8,6979200,158.8
3/30/2015,159.9,160.7,158.2,160.5,5748900,160.5
3/27/2015,156.4,157.4,156,157.3,2845700,157.3
3/26/2015,154.5,157.3,154,156.2,4446800,156.2
3/25/2015,151.1,155,151.1,154.7,5363700,154.7
3/24/2015,151,152.1,150.6,151.4,2273300,151.4
3/23/2015,152,152,150.2,150.6,3911700,150.6
3/20/2015,152.5,153,151.2,151.6,3081000,151.6
3/19/2015,154.4,154.4,152.2,152.4,4190200,152.4
3/18/2015,151.9,152.7,150.5,151.5,6828200,151.5
3/17/2015,150.084,150.084,150.084,150.084,0,150.084
3/16/2015,150.084,150.084,150.084,150.084,0,150.084
3/13/2015,150.084,150.084,150.084,150.084,0,147.068
3/12/2015,150.084,150.084,150.084,150.084,0,147.068
3/11/2015,150.084,150.084,150.084,150.084,0,147.068
3/10/2015,153.7,153.7,152,153.1,6838500,147.068
3/9/2015,150.7,152.7,150.7,152.5,4183100,146.492
3/6/2015,153.8,154,152,152.2,4200400,146.203
3/5/2015,153.7,154.3,152.6,153.2,4611400,147.164
3/4/2015,156.6,157,153.8,154.3,4213800,148.221
3/3/2015,158.2,158.5,155.8,155.9,4998100,149.758
3/2/2015,155.5,156.5,153.8,156.4,5604800,150.238
2/27/2015,154.5,156,152.6,153.5,8728300,147.452
2/26/2015,152.1,153.6,151.1,153,3886200,146.972
2/25/2015,148.3,153,148.3,152,2982900,146.011
2/24/2015,152,152.4,151,151.3,3141400,145.339
2/23/2015,151.4,152.9,151,152.4,3708900,146.396
2/20/2015,152,152,152,152,0,146.011
2/19/2015,152,152,152,152,0,146.011
2/18/2015,152.1,152.8,151.8,152,2451000,146.011
2/17/2015,150.2,152,150.2,151.8,2594500,145.819
2/16/2015,150,151.8,150,151.5,2695600,145.531
2/13/2015,151,151,149.1,149.9,4037500,143.994
2/12/2015,151.5,151.5,148.9,149,5036500,143.13
2/11/2015,149,151,148.9,150.9,5670900,144.955
2/10/2015,148,149.5,147.8,149,3272000,143.13
2/9/2015,149,149.7,148.1,148.5,3001700,142.649
