Date,Open,High,Low,Close,Volume,Adj Close
3/31/2015,108.4,108.6,106.6,107.6,6179600,107.6
3/30/2015,107.8,108.4,107,108.3,5991300,108.3
3/27/2015,106.3,107.4,106.3,107.3,3330000,107.3
3/26/2015,105.9,107.5,105.1,107,3900500,107
3/25/2015,104.5,105.9,103.1,105.7,4649400,105.7
3/24/2015,103.9,104.1,103,103.6,2672600,103.6
3/23/2015,105.5,105.5,102.5,103.4,3381900,103.4
3/20/2015,104.8,104.8,103.6,103.8,2824200,103.8
3/19/2015,104.8,105.4,103.6,104.9,4631900,104.9
3/18/2015,105,105,103.5,103.9,6044100,103.9
3/17/2015,103.3,103.3,103.3,103.3,0,103.3
3/16/2015,104,104.5,103.1,103.3,2401900,103.3
3/13/2015,107,107.6,105.2,106.1,6176800,104.345
3/12/2015,106.8,107.9,105.7,107.5,3940600,105.722
3/11/2015,106,107.5,105.5,107.5,4742300,105.722
3/10/2015,105.8,106.5,105,105.5,4939200,103.755
3/9/2015,104.4,105.7,104.4,105.6,5296800,103.853
3/6/2015,105.5,105.8,104.7,105.4,4135200,103.657
3/5/2015,105.3,106.3,105,105.5,3740200,103.755
3/4/2015,108,108,105.8,106.5,4222700,104.738
3/3/2015,107.3,108.1,107,107.4,6293100,105.623
3/2/2015,106.5,107.7,106.1,107.3,5990900,105.525
2/27/2015,106.2,107.3,106,106.2,9442200,104.443
2/26/2015,105,105.8,104.4,105.5,4529700,103.755
2/25/2015,105,106,104.6,105.6,3830900,103.853
2/24/2015,105,105,104.1,104.8,3330800,103.067
2/23/2015,104,105,103.6,105,2993800,103.263
2/20/2015,104.7,104.7,104.7,104.7,0,102.968
2/19/2015,104.7,104.7,104.7,104.7,0,102.968
2/18/2015,105,105,104.2,104.7,1715900,102.968
2/17/2015,103.2,104.8,103.2,104.7,3175200,102.968
2/16/2015,104,104.4,103.2,104.2,3650700,102.476
2/13/2015,103.5,103.8,102.5,102.9,6628800,101.198
2/12/2015,104.9,105,102.9,103.1,6682400,101.395
2/11/2015,104.6,104.9,103.5,104.9,8101000,103.165
2/10/2015,104,104.4,103.1,104.2,6080000,102.476
2/9/2015,103.3,104,102.9,103.6,3259400,101.886
2/6/2015,103.5,104.7,103,104.5,7958500,102.771
2/5/2015,103.2,103.8,101.6,102.5,2859700,100.805
2/4/2015,103.5,104.5,102.7,103,4406200,101.296
2/3/2015,104.2,104.5,103.4,104.1,4187100,102.378
2/2/2015,103,104.8,102.6,104.7,9709500,102.968
1/30/2015,102.1,103,102.1,102.9,7486700,101.198
1/29/2015,101.9,102.5,100.8,101.9,4628100,100.214
1/28/2015,101.1,101.9,100.8,101.6,3862300,99.919
1/27/2015,102,102,100.6,101.2,4791600,99.526
1/26/2015,101.8,101.8,100.6,101.3,5821500,99.624
1/23/2015,99,102.3,99,101.2,14765600,99.526
1/22/2015,99.25,99.25,97.6,98.3,9787900,96.674
1/21/2015,97.2,98.2,97,97.75,4630200,96.133
1/20/2015,97.5,98.15,96.75,98.05,5460200,96.428
1/19/2015,96.3,98.3,96.3,97.5,6201600,95.887
1/16/2015,99,99,97.05,97.15,7360400,95.543
1/15/2015,98.9,99,98.1,98.3,8589100,96.674
1/14/2015,99,99,98.35,98.55,9735300,96.92
1/13/2015,99,99.2,98.05,98.6,17351600,96.969
1/12/2015,100,103.1,96.65,98.35,46115700,96.723
1/9/2015,88,88.9,87.2,87.4,9122800,85.954
1/8/2015,88,88,86.05,86.6,9175300,85.168
1/7/2015,87.2,88.4,86.3,87.25,8539700,85.807
1/6/2015,87.3,87.5,85.9,86.55,13734700,85.118
1/5/2015,88.5,89.65,88.15,88.55,6718700,87.085
1/2/2015,89,89.9,88.3,89.8,3991800,88.315
1/1/2015,89.25,89.25,89.25,89.25,0,87.774
12/31/2014,89.55,89.8,89,89.25,1919800,87.774
12/30/2014,92.35,92.35,88.5,89.25,8254100,87.774
12/29/2014,91.6,92.25,91.4,91.6,4141300,90.085
12/26/2014,90.65,90.65,90.65,90.65,0,89.151
12/25/2014,90.65,90.65,90.65,90.65,0,89.151
12/24/2014,91,91,90.05,90.65,1990500,89.151
12/23/2014,90.9,91.05,90.1,90.85,4187300,89.347
12/22/2014,90.8,90.9,90.05,90.35,4559800,88.856
12/19/2014,90,90.2,88.85,90,6992500,88.511
12/18/2014,86.7,88.75,86.6,87.85,7704400,86.397
12/17/2014,87.45,87.6,86,86.05,6905300,84.627
12/16/2014,89,89.65,86.95,87,7604400,85.561
12/15/2014,89,89.25,88,88.1,7251100,86.643
12/12/2014,90.7,91.35,89.55,89.7,5958200,88.216
12/11/2014,90.8,90.8,90,90.5,9247300,89.003
12/10/2014,90,92.4,90,91,6517100,89.495
12/9/2014,93,93.25,90,90.5,15014700,89.003
12/8/2014,94.3,94.65,93.05,93.25,5448600,91.708
12/5/2014,95.1,95.7,94.1,94.3,8276900,92.74
12/4/2014,94.3,94.6,92.9,94.35,7329400,92.789
12/3/2014,94.9,95.7,92.5,92.9,8082300,91.363
12/2/2014,93.1,95.2,93.1,93.95,7815600,92.396
12/1/2014,95.5,95.65,92.7,93.45,15188700,91.904
11/28/2014,99.25,99.25,97.05,97.2,6274500,95.592
11/27/2014,99.1,99.6,98.55,98.9,3012400,97.264
11/26/2014,98.95,99.45,98.15,99.25,4437400,97.608
11/25/2014,99,99.25,98.45,98.75,3624300,97.117
11/24/2014,98.8,99.8,98.75,98.8,7493400,97.166
11/21/2014,97.7,98,97.2,97.75,3659600,96.133
11/20/2014,99,99,97.4,98.15,3833800,96.527
