Date,Open,High,Low,Close,Volume,Adj Close
3/31/2015,5.75,5.75,5.7,5.72,428016700,5.72
3/30/2015,5.61,5.71,5.59,5.65,442853100,5.65
3/27/2015,5.6,5.6,5.49,5.5,382646900,5.5
3/26/2015,5.56,5.6,5.52,5.57,144766600,5.57
3/25/2015,5.62,5.62,5.56,5.57,260747400,5.57
3/24/2015,5.65,5.68,5.56,5.58,323589200,5.58
3/23/2015,5.71,5.72,5.66,5.69,185877800,5.69
3/20/2015,5.65,5.71,5.65,5.69,216465600,5.69
3/19/2015,5.66,5.71,5.66,5.7,304522700,5.7
3/18/2015,5.56,5.68,5.56,5.65,313549100,5.65
3/17/2015,5.6,5.63,5.56,5.59,195846900,5.59
3/16/2015,5.55,5.6,5.54,5.58,188390600,5.58
3/13/2015,5.49,5.59,5.49,5.55,240674600,5.55
3/12/2015,5.36,5.55,5.36,5.48,298903100,5.48
3/11/2015,5.47,5.49,5.37,5.38,253226700,5.38
3/10/2015,5.46,5.48,5.4,5.43,258563900,5.43
3/9/2015,5.38,5.52,5.37,5.48,257092700,5.48
3/6/2015,5.41,5.46,5.4,5.44,287778200,5.44
3/5/2015,5.49,5.49,5.42,5.43,330587700,5.43
3/4/2015,5.58,5.59,5.5,5.51,225382500,5.51
3/3/2015,5.71,5.71,5.56,5.58,232331900,5.58
3/2/2015,5.71,5.74,5.67,5.68,280678900,5.68
2/27/2015,5.69,5.75,5.66,5.66,284774100,5.66
2/26/2015,5.62,5.75,5.62,5.71,322027900,5.71
2/25/2015,5.75,5.75,5.63,5.66,285857500,5.66
2/24/2015,5.71,5.72,5.67,5.7,142847000,5.7
2/23/2015,5.71,5.72,5.61,5.7,113997500,5.7
2/20/2015,5.68,5.68,5.68,5.68,0,5.68
2/19/2015,5.68,5.68,5.68,5.68,0,5.68
2/18/2015,5.7,5.7,5.66,5.68,43553300,5.68
2/17/2015,5.63,5.7,5.63,5.68,126763100,5.68
2/16/2015,5.69,5.69,5.64,5.66,102911400,5.66
2/13/2015,5.61,5.67,5.6,5.65,197146400,5.65
2/12/2015,5.56,5.6,5.49,5.58,206447400,5.58
2/11/2015,5.53,5.59,5.48,5.51,240004500,5.51
2/10/2015,5.5,5.59,5.49,5.56,165378900,5.56
2/9/2015,5.53,5.57,5.5,5.54,289346800,5.54
2/6/2015,5.64,5.67,5.53,5.61,257901200,5.61
2/5/2015,5.74,5.75,5.63,5.67,431823400,5.67
2/4/2015,5.59,5.63,5.55,5.57,237529600,5.57
2/3/2015,5.5,5.59,5.46,5.58,165048600,5.58
2/2/2015,5.51,5.53,5.44,5.5,295443900,5.5
1/30/2015,5.61,5.65,5.55,5.58,207769500,5.58
1/29/2015,5.61,5.65,5.55,5.6,290652300,5.6
1/28/2015,5.74,5.8,5.7,5.72,169511700,5.72
1/27/2015,5.85,5.85,5.71,5.73,269790300,5.73
1/26/2015,5.84,5.84,5.76,5.83,169470400,5.83
1/23/2015,5.8,5.86,5.8,5.84,322381400,5.84
1/22/2015,5.75,5.78,5.73,5.75,155103100,5.75
1/21/2015,5.63,5.75,5.6,5.72,295898800,5.72
1/20/2015,5.49,5.59,5.46,5.58,245814900,5.58
1/19/2015,5.58,5.61,5.38,5.45,455843900,5.45
1/16/2015,5.69,5.73,5.66,5.68,210096300,5.68
1/15/2015,5.73,5.77,5.63,5.74,204880300,5.74
1/14/2015,5.74,5.78,5.65,5.68,153461900,5.68
1/13/2015,5.62,5.75,5.62,5.71,136003300,5.71
1/12/2015,5.73,5.73,5.62,5.68,142031300,5.68
1/9/2015,5.75,5.84,5.71,5.73,264517200,5.73
1/8/2015,5.84,5.85,5.7,5.72,236272900,5.72
1/7/2015,5.68,5.8,5.66,5.75,326962600,5.75
1/6/2015,5.7,5.83,5.67,5.71,501370700,5.71
1/5/2015,5.73,5.9,5.71,5.8,534408600,5.8
1/2/2015,5.68,5.78,5.67,5.77,316618700,5.77
1/1/2015,5.66,5.66,5.66,5.66,0,5.66
12/31/2014,5.58,5.69,5.57,5.66,216785000,5.66
12/30/2014,5.68,5.68,5.53,5.56,338130500,5.56
12/29/2014,5.62,5.7,5.61,5.63,427483800,5.63
12/26/2014,5.46,5.46,5.46,5.46,0,5.46
12/25/2014,5.46,5.46,5.46,5.46,0,5.46
12/24/2014,5.48,5.55,5.45,5.46,161068800,5.46
12/23/2014,5.55,5.6,5.5,5.53,322932200,5.53
12/22/2014,5.4,5.62,5.38,5.55,517642700,5.55
12/19/2014,5.37,5.43,5.35,5.37,395783500,5.37
12/18/2014,5.39,5.42,5.3,5.34,310756100,5.34
12/17/2014,5.22,5.35,5.19,5.31,407572200,5.31
12/16/2014,5.23,5.26,5.18,5.21,299191500,5.21
12/15/2014,5.24,5.27,5.2,5.26,269142900,5.26
12/12/2014,5.35,5.4,5.27,5.29,251178300,5.29
12/11/2014,5.27,5.35,5.22,5.33,403663000,5.33
12/10/2014,5.36,5.45,5.31,5.36,437532600,5.36
12/9/2014,5.63,5.64,5.33,5.38,674378600,5.38
12/8/2014,5.55,5.69,5.5,5.68,757341000,5.68
12/5/2014,5.38,5.6,5.37,5.48,1007918900,5.48
12/4/2014,5.23,5.35,5.23,5.34,491321600,5.34
12/3/2014,5.28,5.34,5.18,5.22,579817900,5.22
12/2/2014,5.13,5.29,5.11,5.23,391632100,5.23
12/1/2014,5.19,5.23,5.1,5.13,466637700,5.13
11/28/2014,5.21,5.3,5.18,5.26,529241900,5.26
11/27/2014,5.2,5.26,5.15,5.18,337350600,5.18
11/26/2014,5.07,5.2,5.07,5.17,353662400,5.17
11/25/2014,5.07,5.12,5.07,5.09,361281000,5.09
11/24/2014,5.05,5.09,4.98,5.08,506156600,5.08
11/21/2014,4.96,4.98,4.91,4.96,203030600,4.96
11/20/2014,4.95,4.98,4.92,4.94,222911700,4.94
11/19/2014,4.96,4.99,4.92,4.95,297839200,4.95
11/18/2014,5.05,5.07,4.96,4.98,275342200,4.98
11/17/2014,5.15,5.16,5.02,5.05,275804700,5.05
11/14/2014,5.12,5.13,5.07,5.11,166789000,5.11
11/13/2014,5.08,5.16,5.07,5.11,354006200,5.11
11/12/2014,5.09,5.11,5.05,5.05,274451700,5.05
11/11/2014,5.08,5.14,5.03,5.05,449477900,5.05
11/10/2014,5.09,5.15,5.04,5.05,333074600,5.05
11/7/2014,5,5.08,4.96,5,219522200,5
11/6/2014,5.01,5.04,4.99,4.99,193652300,4.99
11/5/2014,5.08,5.08,5.01,5.03,199049900,5.03
11/4/2014,5.1,5.14,5.05,5.09,228160400,5.09
11/3/2014,5.19,5.19,5.06,5.09,266423400,5.09
10/31/2014,5.1,5.16,5.08,5.13,328966400,5.13
10/30/2014,5.12,5.12,5.02,5.07,267860800,5.07
10/29/2014,5.1,5.14,5.09,5.11,321473000,5.11
10/28/2014,4.96,5.08,4.96,5.05,299137900,5.05
10/27/2014,4.96,4.97,4.91,4.95,275148200,4.95
10/24/2014,4.99,5.01,4.96,4.99,214292100,4.99
10/23/2014,4.96,5.03,4.96,5.02,184013200,5.02
10/22/2014,4.94,5.03,4.92,4.99,358149200,4.99
10/21/2014,4.94,4.98,4.9,4.93,184340400,4.93
10/20/2014,4.97,4.99,4.92,4.94,193334600,4.94
10/17/2014,4.88,4.95,4.86,4.92,299543800,4.92
10/16/2014,4.89,4.93,4.86,4.88,225344600,4.88
10/15/2014,4.89,4.97,4.89,4.93,213838900,4.93
10/14/2014,4.86,4.97,4.86,4.89,270877500,4.89
10/13/2014,4.85,4.9,4.82,4.88,273936700,4.88
10/10/2014,4.91,4.93,4.87,4.89,191852000,4.89
10/9/2014,4.94,4.99,4.94,4.97,139796800,4.97
10/8/2014,4.91,4.97,4.88,4.93,233040900,4.93
10/7/2014,4.87,4.98,4.87,4.96,296533500,4.96
10/6/2014,4.87,4.93,4.83,4.91,276991100,4.91
10/3/2014,4.78,4.89,4.74,4.87,424874800,4.87
10/2/2014,4.84,4.84,4.84,4.84,0,4.84
10/1/2014,4.84,4.84,4.84,4.84,0,4.84
9/30/2014,4.88,4.88,4.82,4.84,406708100,4.84
9/29/2014,4.93,4.96,4.89,4.91,395913400,4.91
9/26/2014,4.94,5.02,4.94,4.98,278378900,4.98
9/25/2014,5.08,5.12,5.01,5.02,380834100,5.02
9/24/2014,5.01,5.12,5.01,5.09,223059600,5.09
