Date,Open,High,Low,Close,Volume,Adj Close
3/31/2015,11.38,11.4,11.22,11.32,52188800,11.32
3/30/2015,11.04,11.34,11.02,11.16,35670100,11.16
3/27/2015,11.04,11.1,10.9,11.08,52494900,11.08
3/26/2015,11.4,11.48,11.08,11.28,41619700,11.28
3/25/2015,11.46,11.7,11.4,11.52,44572600,11.52
3/24/2015,11.2,11.4,11.02,11.36,34331300,11.36
3/23/2015,10.84,11.2,10.84,11.18,24747700,11.18
3/20/2015,11.08,11.08,10.76,10.86,52790000,10.86
3/19/2015,11,11.12,10.82,11.02,34431900,11.02
3/18/2015,10.86,11.1,10.84,11.02,36626900,11.02
3/17/2015,10.98,11,10.76,10.84,35472500,10.84
3/16/2015,10.76,11.08,10.64,10.9,40819300,10.9
3/13/2015,11.28,11.28,10.8,10.94,82879300,10.94
3/12/2015,11.18,11.56,11.18,11.42,26468500,11.42
3/11/2015,11.5,11.6,11.24,11.3,30846900,11.3
3/10/2015,12,12,11.52,11.64,40258700,11.64
3/9/2015,12.2,12.24,11.82,12,48816500,12
3/6/2015,12,12.3,11.88,12.24,80646200,12.24
3/5/2015,12.08,12.08,11.9,11.96,31574900,11.96
3/4/2015,11.98,12.18,11.9,11.92,39622400,11.92
3/3/2015,12,12.06,11.8,11.88,24326500,11.88
3/2/2015,11.96,12.2,11.94,12.1,23235100,12.1
2/27/2015,11.9,12.16,11.84,11.96,27107500,11.96
2/26/2015,11.8,12,11.78,11.9,13585100,11.9
2/25/2015,11.78,12,11.78,11.86,25089800,11.86
2/24/2015,11.86,11.98,11.74,11.94,21860900,11.94
2/23/2015,11.56,12.12,11.52,12,34189200,12
2/20/2015,11.88,11.88,11.88,11.88,0,11.88
2/19/2015,11.88,11.88,11.88,11.88,0,11.88
2/18/2015,11.84,12,11.84,11.88,13176900,11.88
2/17/2015,12.1,12.1,11.88,11.94,12640400,11.94
2/16/2015,12.12,12.16,11.88,11.98,27548500,11.98
2/13/2015,12.36,12.36,12.02,12.12,41064600,12.12
2/12/2015,11.92,12.3,11.92,12.26,53672700,12.26
2/11/2015,11.9,12.22,11.84,11.98,55206100,11.98
2/10/2015,11.9,11.92,11.64,11.86,41291800,11.86
2/9/2015,11.5,11.96,11.38,11.86,47897200,11.86
2/6/2015,11.56,11.78,11.48,11.5,42073500,11.5
2/5/2015,11.8,11.8,11.48,11.58,59612600,11.58
2/4/2015,11.18,11.66,11.06,11.46,158099200,11.46
2/3/2015,11,11.06,10.74,10.92,151966300,10.92
2/2/2015,10.24,10.24,10.02,10.18,38498200,10.18
1/30/2015,10.08,10.16,9.96,10.04,33462300,10.04
1/29/2015,10.2,10.28,10,10.04,59669800,10.04
1/28/2015,10.4,10.5,10.26,10.32,42201300,10.32
1/27/2015,10.62,10.66,10.42,10.52,28236000,10.52
1/26/2015,10.5,10.74,10.44,10.6,23816600,10.6
1/23/2015,10.44,10.58,10.36,10.54,47272300,10.54
1/22/2015,10.4,10.5,10.24,10.3,31503500,10.3
1/21/2015,10.28,10.54,10.28,10.38,24973200,10.38
1/20/2015,10.3,10.42,10.2,10.34,16874100,10.34
1/19/2015,10.3,10.48,10.26,10.3,15456000,10.3
1/16/2015,10.62,10.62,10.32,10.36,43472600,10.36
1/15/2015,10.68,10.78,10.56,10.62,22973500,10.62
1/14/2015,10.68,10.86,10.66,10.74,41495000,10.74
1/13/2015,10.8,10.8,10.56,10.66,23511400,10.66
1/12/2015,10.72,10.8,10.6,10.76,24148100,10.76
1/9/2015,10.9,11.08,10.62,10.76,54806400,10.76
1/8/2015,10.6,11,10.56,10.84,75549800,10.84
1/7/2015,10.26,10.68,10.2,10.42,60627400,10.42
1/6/2015,9.98,10.14,9.9,10.08,23258400,10.08
1/5/2015,10.08,10.18,10.02,10.06,30148400,10.06
1/2/2015,10.2,10.26,10.12,10.22,11729400,10.22
