Date,Open,High,Low,Close,Volume,Adj Close
3/31/2015,36.75,36.95,36.5,36.9,4479300,36.133
3/30/2015,36.35,36.8,36.35,36.75,4191400,35.986
3/27/2015,36.65,36.65,36.15,36.3,4437600,35.546
3/26/2015,36.25,36.5,36.2,36.4,2210200,35.644
3/25/2015,36.3,36.55,36.05,36.5,2299100,35.742
3/24/2015,35.8,36.3,35.55,36.2,3395700,35.448
3/23/2015,36.05,36.3,35.55,35.8,2108100,35.056
3/20/2015,35.95,36.25,35.8,36.05,3273600,35.301
3/19/2015,35.2,36,35.2,35.9,2681200,35.154
3/18/2015,35.2,35.5,35.05,35.4,3075400,34.664
3/17/2015,35.5,35.65,35.05,35.15,5461300,34.42
3/16/2015,35.1,35.4,34.8,34.9,3007400,34.175
3/13/2015,35.1,35.6,35.1,35.45,3311300,34.713
3/12/2015,35.35,35.75,35.1,35.25,3794700,34.518
3/11/2015,34.35,35.1,34.35,35.1,2582900,34.371
3/10/2015,34.55,34.95,34.35,34.8,4832300,34.077
3/9/2015,34.1,34.4,34,34.15,4215500,33.44
3/6/2015,34.55,34.7,34.15,34.2,3525200,33.489
3/5/2015,34.3,34.75,34.2,34.6,4849400,33.881
3/4/2015,35.5,35.75,34.75,34.8,3908000,34.077
3/3/2015,35.45,35.95,35.4,35.55,2401300,34.811
3/2/2015,36.2,36.2,35.15,35.55,3675300,34.811
2/27/2015,35.9,36.5,35.9,36,2588000,35.252
2/26/2015,36.2,36.5,35.85,35.95,3478400,35.203
2/25/2015,36,36.85,35.8,36.1,4738300,35.35
2/24/2015,35.9,35.95,35.6,35.85,2604900,35.105
2/23/2015,35.75,36,34.95,35.95,3701700,35.203
2/20/2015,34.85,34.85,34.85,34.85,0,34.126
2/19/2015,34.85,34.85,34.85,34.85,0,34.126
2/18/2015,34.95,35.2,34.85,34.85,1434800,34.126
2/17/2015,34.75,35.25,34.75,35.2,1953600,34.469
2/16/2015,35.3,35.3,34.7,34.95,2884300,34.224
2/13/2015,34.75,35.2,34.5,35.2,4477500,34.469
2/12/2015,34.2,34.75,34.2,34.75,2442100,34.028
2/11/2015,34.45,34.65,34.05,34.6,1973800,33.881
2/10/2015,34.2,34.3,33.8,34.25,1728100,33.538
2/9/2015,34.1,34.4,34,34.25,3866900,33.538
2/6/2015,34.3,34.5,34.1,34.4,1234600,33.685
2/5/2015,34.3,34.5,34.1,34.35,2450600,33.636
2/4/2015,33.7,34.25,33.7,34.2,3720800,33.489
2/3/2015,34,34.3,34,34.2,3018400,33.489
2/2/2015,34.5,34.5,33.65,34,4515900,33.294
1/30/2015,34.65,34.7,34.1,34.45,3300500,33.734
1/29/2015,33.75,34.6,33.45,34.6,4429000,33.881
1/28/2015,33.35,33.8,33.35,33.7,1907100,33
1/27/2015,33.55,33.75,33.3,33.65,2821200,32.951
1/26/2015,33.35,33.5,33.2,33.5,1642500,32.804
1/23/2015,33.15,33.7,33.05,33.55,2430200,32.853
1/22/2015,33.7,33.7,33.05,33.15,3186700,32.461
1/21/2015,33.25,33.55,33.2,33.35,3155000,32.657
1/20/2015,33.4,33.75,33.15,33.55,3703800,32.853
1/19/2015,33.6,33.6,33.1,33.25,2415700,32.559
1/16/2015,33,33.55,32.85,33.15,3142500,32.461
1/15/2015,32.85,33.4,32.75,33.35,2147000,32.657
1/14/2015,33.5,33.55,32.85,33,3460100,32.314
1/13/2015,32.9,33.6,32.65,33.55,4676000,32.853
1/12/2015,32.65,33,32.35,32.9,4369600,32.216
1/9/2015,32.25,32.6,32.1,32.5,3423900,31.825
1/8/2015,31.95,32.4,31.7,32.25,7878800,31.58
1/7/2015,31.25,31.75,31.1,31.7,3066700,31.041
1/6/2015,31.45,31.85,31.35,31.5,3531700,30.845
1/5/2015,31.65,32.1,31.65,31.8,2120800,31.139
1/2/2015,31.8,31.95,31.75,31.9,1231800,31.237
1/1/2015,31.8,31.8,31.8,31.8,0,31.139
12/31/2014,32.2,32.2,31.8,31.8,1528900,31.139
12/30/2014,32,32.3,31.95,32.15,2422400,31.482
12/29/2014,31.5,32.1,31.5,31.95,2681400,31.286
12/26/2014,31.75,31.75,31.75,31.75,0,31.09
12/25/2014,31.75,31.75,31.75,31.75,0,31.09
12/24/2014,31.5,31.8,31.4,31.75,624100,31.09
12/23/2014,31.5,31.7,31.4,31.6,2343200,30.943
12/22/2014,31.05,31.75,31.05,31.7,3025700,31.041
12/19/2014,30.85,31.4,30.85,31.35,2030700,30.699
12/18/2014,31,31.1,30.75,30.95,2774000,30.307
12/17/2014,31.1,31.35,31,31.1,2279300,30.454
