Date,Open,High,Low,Close,Volume,Adj Close
3/31/2015,104,106.1,104,105.7,2431300,102.98
3/30/2015,104.3,105,104,104.2,2238000,101.518
3/27/2015,104.9,104.9,104,104.3,1593100,101.616
3/26/2015,102.7,104.4,101.5,104.1,1796800,101.421
3/25/2015,101.6,103.9,101.6,103.8,2376900,101.129
3/24/2015,101,102.5,100.6,101.6,1988900,98.985
3/23/2015,102.2,102.3,100.3,100.8,2374500,98.206
3/20/2015,102.7,102.7,101.4,102.1,2095400,99.472
3/19/2015,106.7,106.7,102.8,102.9,907600,100.252
3/18/2015,102.2,103.5,101.5,102.4,1216700,99.765
3/17/2015,102.9,103,101.4,101.9,1218800,99.278
3/16/2015,102,103,101.2,101.9,1206300,99.278
3/13/2015,103.6,103.6,102,102.6,494600,99.96
3/12/2015,102.5,103.7,102.3,102.8,615600,100.154
3/11/2015,102.6,103.2,102.6,103.1,519600,100.447
3/10/2015,104.4,104.4,102.8,103.4,2109900,100.739
3/9/2015,104.3,104.3,103.1,103.4,1296000,100.739
3/6/2015,104,104.9,103,103.7,1660000,101.031
3/5/2015,107,107,103.9,104,1236800,101.324
3/4/2015,107.7,107.7,105.6,106,1099900,103.272
3/3/2015,105.8,107.1,105.2,106.1,835600,103.369
3/2/2015,107.5,107.5,105.7,106.6,997600,103.857
2/27/2015,105.2,106.9,105.2,106,1298000,103.272
2/26/2015,106,106.8,105.3,106.3,1174500,103.564
2/25/2015,106.4,106.7,105.5,105.8,880800,103.077
2/24/2015,104.9,106.5,104.9,106,581600,103.272
2/23/2015,107.6,107.6,105.7,106.1,686400,103.369
2/20/2015,105.8,105.8,105.8,105.8,0,103.077
2/19/2015,105.8,105.8,105.8,105.8,0,103.077
2/18/2015,105.5,106.9,105.1,105.8,709300,103.077
2/17/2015,104.7,105.5,104.7,105.3,618200,102.59
2/16/2015,104.5,105.2,103.8,105.2,657000,102.493
2/13/2015,104,104.6,103.4,103.9,1004000,101.226
2/12/2015,105.8,105.8,102.8,104.1,1175300,101.421
2/11/2015,105.5,105.5,103.5,104.8,843300,102.103
2/10/2015,105.8,105.8,103.8,104.8,918000,102.103
2/9/2015,105.4,105.4,104.2,104.4,644900,101.713
2/6/2015,105.8,106,105.1,105.6,871400,102.882
2/5/2015,105,105.8,104,104.7,641800,102.006
2/4/2015,103.6,105,103.6,104.3,1250400,101.616
2/3/2015,104.9,104.9,103.5,103.8,1072500,101.129
2/2/2015,103.9,104.7,103.5,104.5,836300,101.811
1/30/2015,104.5,105,103.7,104.1,1525700,101.421
1/29/2015,104.5,104.5,103.5,104.4,851400,101.713
1/28/2015,103.4,104.3,102.7,104.1,990200,101.421
1/27/2015,102.8,103.5,102.1,103.4,631300,100.739
1/26/2015,103.5,103.5,102.7,103.3,388200,100.642
1/23/2015,101.8,103.7,101.8,103.5,1630100,100.836
1/22/2015,101.1,101.8,100.3,101.7,1851600,99.083
1/21/2015,103.6,103.6,101.7,101.9,1240200,99.278
1/20/2015,102.4,103.4,102.1,103.4,821600,100.739
1/19/2015,104.7,104.7,102.1,103.3,1374200,100.642
1/16/2015,102,103,102,102.7,661400,100.057
1/15/2015,101.8,103.5,101.8,103.1,873600,100.447
1/14/2015,102.5,103.3,102.1,102.2,1040100,99.57
1/13/2015,102,102.2,101.3,101.9,857100,99.278
1/12/2015,100.4,101.8,100.1,101.3,1218300,98.693
1/9/2015,99.75,100.4,99.55,99.75,1273700,97.183
1/8/2015,101.3,101.3,99.5,99.75,902000,97.183
1/7/2015,100,100,98.5,99.05,1321400,96.501
1/6/2015,100.4,100.4,98.2,98.6,1437000,96.062
1/5/2015,99,100.4,99,99.9,1371800,97.329
1/2/2015,100.9,101.2,99.9,100.6,476900,98.011
1/1/2015,101,101,101,101,0,98.401
12/31/2014,101.5,101.5,100,101,346100,98.401
12/30/2014,101,101.7,99.8,100.5,1043900,97.914
12/29/2014,100,102,100,100.7,953900,98.108
12/26/2014,100,100,100,100,0,97.426
12/25/2014,100,100,100,100,0,97.426
12/24/2014,100.2,100.6,99.25,100,546000,97.426
12/23/2014,100.7,100.7,99.1,99.2,817100,96.647
12/22/2014,100.2,100.8,99.1,99.95,936800,97.378
12/19/2014,100.9,101,99.4,99.7,1394700,97.134
12/18/2014,99,99.6,98.15,99,1472800,96.452
12/17/2014,98.75,99.6,97.9,98.5,2271300,95.965
12/16/2014,99.9,100.6,98.65,98.75,1966600,96.209
12/15/2014,101,101.4,99.6,100,1660300,97.426
12/12/2014,102,102.5,101.4,101.6,964200,98.985
12/11/2014,102.8,103,101.1,101.9,1379800,99.278
12/10/2014,103.3,103.8,102.8,102.9,1360800,100.252
12/9/2014,103.8,104.8,103.4,103.7,1072200,101.031
12/8/2014,104.3,105.8,103.9,104.2,1048300,101.518
12/5/2014,104,106.2,104,104.4,2594400,101.713
12/4/2014,105,105,103.9,104.5,1237000,101.811
12/3/2014,107.5,107.5,103.9,104.1,1398000,101.421
12/2/2014,106.6,106.6,103.5,105.6,1459900,102.882
12/1/2014,105,106.5,104,106.5,2243500,103.759
11/28/2014,104.3,107,104.3,106.6,1831200,103.857
11/27/2014,106.2,106.4,103.9,104.3,1154000,101.616
