Date,Open,High,Low,Close,Volume,Adj Close
3/31/2015,151.4,151.4,146.2,147.2,24094100,146.8721
3/30/2015,145.8,146.8,144,144.7,23524500,144.3776
3/27/2015,143,143,140.3,141.9,15824100,141.5839
3/26/2015,141.9,142.8,140.6,140.8,18603800,140.4863
3/25/2015,143,145.1,141.6,142.7,20819800,142.3821
3/24/2015,146.5,146.6,142.7,143,16676300,142.6814
3/23/2015,144.1,146.5,142.7,145.2,30768000,144.8765
3/20/2015,146.4,148.8,141.1,142.6,71270100,142.2823
3/19/2015,138,145.3,136.7,145,64092600,144.677
3/18/2015,134.5,137.3,134.2,135.9,22928400,135.5972
3/17/2015,137.3,137.5,133.1,133.8,19181000,133.5019
3/16/2015,133,136.3,131.7,135.6,22713700,135.2979
3/13/2015,133,134.8,131.7,133.6,15454300,133.3024
3/12/2015,130.9,132.2,130.2,131.8,17080300,131.5064
3/11/2015,131.5,132.5,131.1,131.7,14168900,131.4066
3/10/2015,132.8,132.8,130.7,131.1,13021200,130.808
3/9/2015,132,133.7,130.8,132.2,13163700,131.9055
3/6/2015,132.2,133.1,131,131.7,13871100,131.4066
3/5/2015,132.1,134.6,131.8,132.1,12315600,131.8057
3/4/2015,134.4,134.7,133,133.3,12376000,133.0031
3/3/2015,137.2,138,135,135.3,17615600,134.9986
3/2/2015,136.7,137,134,136.7,12685500,136.3955
2/27/2015,136,136.7,134.7,135.9,17961500,135.5972
2/26/2015,134.3,136.4,134.3,135.6,21657700,135.2979
2/25/2015,134,136.4,133.6,135.8,18941900,135.4975
2/24/2015,136,136.4,133.8,135.1,17218500,134.799
2/23/2015,132.7,135.3,131.1,134.8,24232800,134.4997
2/20/2015,129.9,129.9,129.9,129.9,0,129.6106
2/19/2015,129.9,129.9,129.9,129.9,0,129.6106
2/18/2015,131.1,131.4,129.5,129.9,7286700,129.6106
2/17/2015,130,132,130,130.8,8379900,130.5086
2/16/2015,130.1,132.3,130,130.5,10168800,130.2093
2/13/2015,129.6,132.3,129.1,130.2,15469700,129.9099
2/12/2015,130,130.9,128,129.6,24028000,129.3113
2/11/2015,134,134,131.4,131.6,12131100,131.3068
2/10/2015,132.6,134,132,133,14000800,132.7037
2/9/2015,133.6,133.6,131.8,132.6,12443300,132.3046
2/6/2015,136.8,136.8,134,134.2,10914800,133.901
2/5/2015,137,137,133,135.2,18010700,134.8988
2/4/2015,135.5,136.1,133.3,133.9,9499300,133.6017
2/3/2015,135.5,137.3,133,135.1,14377600,134.799
2/2/2015,129.9,136.8,129.9,135.8,17654000,135.4975
1/30/2015,135.5,135.5,129.5,132,29375600,131.7059
1/29/2015,136,136.4,133.8,134.6,14636100,134.3002
1/28/2015,136.9,137,134.7,136.9,16216900,136.595
1/27/2015,138,138,133,136,24455700,135.697
1/26/2015,136.7,137.1,134.3,137,34952600,136.6948
1/23/2015,134.6,134.9,131.1,132.7,29965500,132.4044
1/22/2015,130.5,132,129.7,131.6,39063800,131.3068
1/21/2015,126.2,128.9,125.2,128.7,33788500,128.4133
1/20/2015,123.5,124.8,123.3,124.1,10194000,123.8235
1/19/2015,124.3,125.2,122.2,123,21595500,122.726
1/16/2015,125,125,121.6,121.9,25227200,121.6284
1/15/2015,125.2,127,124.1,126.9,16002300,126.6173
1/14/2015,126.7,127.7,125.1,126,16843700,125.7193
1/13/2015,125.3,128.3,125.2,127.8,16843100,127.5153
1/12/2015,129,129,126.2,127.1,17880900,126.8169
1/9/2015,129,129,126.5,127.2,31842100,126.9166
1/8/2015,127.5,127.8,125.6,127.3,35638900,127.0164
1/7/2015,123.5,124.5,122.6,124.4,40863400,124.1229
1/6/2015,114,120.5,113.6,120,43678200,119.7327
1/5/2015,113.5,115.3,112.8,113.5,21808900,113.2472
1/2/2015,113.6,113.6,111.3,112.8,10862500,112.5487
1/1/2015,112.5,112.5,112.5,112.5,0,112.2494
12/31/2014,112.5,113.8,112.1,112.5,9413400,112.2494
12/30/2014,114.7,114.7,112.6,113.3,12754400,113.0476
12/29/2014,115.5,115.5,112.2,113.4,11004400,113.1474
12/26/2014,112.7,112.7,112.7,112.7,0,112.4489
12/25/2014,112.7,112.7,112.7,112.7,0,112.4489
12/24/2014,111.3,113.4,111.3,112.7,6493000,112.4489
12/23/2014,113,114.7,110.8,112.8,20692700,112.5487
12/22/2014,117.4,117.4,111.3,113,27797500,112.7483
12/19/2014,117,117.5,115,115.7,44037100,115.4423
12/18/2014,108.1,112.2,108,111.9,48643800,111.6507
12/17/2014,108.4,108.8,104.5,105.3,44216400,105.0654
12/16/2014,111,111.9,107.6,108,41282900,107.7594
12/15/2014,113,113.3,111.2,111.9,16768000,111.6507
12/12/2014,114.8,115.4,113.3,113.7,19504700,113.4467
12/11/2014,115,115,113,113.4,19147100,113.1474
12/10/2014,114.5,115.7,113,115.5,27226000,115.2427
12/9/2014,117.2,117.8,115.6,115.8,26145500,115.542
12/8/2014,120.5,120.7,117.6,118.6,22699600,118.3358
12/5/2014,119,120.3,117.2,118.9,28858500,118.6351
12/4/2014,118,119.9,117.9,118.2,27618200,117.9367
12/3/2014,119.7,120.7,117.5,117.7,30842600,117.4378
12/2/2014,119.8,121.9,118.5,119.6,29697200,119.3336
12/1/2014,121.7,122.5,118.9,120.3,28083100,120.032
11/28/2014,125.6,125.8,123.6,124,13033600,123.7238
11/27/2014,125.7,125.8,124.6,125.1,11371500,124.8213
11/26/2014,125.4,126,124.3,125.7,18661200,125.42
11/25/2014,126.1,126.1,124.5,124.7,23323000,124.4222
