Date,Open,High,Low,Close,Volume,Adj Close
2015-04-01,24955.20,25099.06,24926.11,25082.75,1713463600,25082.75
2015-03-31,25113.20,25113.20,24876.37,24900.89,2557002200,24900.89
2015-03-30,24727.46,24949.35,24725.52,24855.12,2574119600,24855.12
2015-03-27,24541.44,24549.88,24420.47,24486.20,1610426400,24486.20
2015-03-26,24442.51,24592.01,24399.84,24497.08,1346154100,24497.08
2015-03-25,24410.53,24613.69,24377.92,24528.23,1421279500,24528.23
2015-03-24,24484.68,24490.15,24294.95,24399.60,1559006100,24399.60
2015-03-23,24538.34,24559.77,24436.42,24494.51,1461178100,24494.51
2015-03-20,24417.53,24524.55,24351.50,24375.24,2006074800,24375.24
2015-03-19,24325.56,24500.23,24248.84,24468.89,1826036400,24468.89
2015-03-18,23938.63,24210.75,23938.63,24120.08,1668404600,24120.08
2015-03-17,24106.47,24106.47,23822.78,23901.49,1188627100,23901.49
2015-03-16,23771.40,23970.05,23711.27,23949.55,1187740300,23949.55
2015-03-13,23808.97,23918.71,23790.83,23823.21,1538401000,23823.21
2015-03-12,23709.17,23880.25,23677.06,23797.96,1619061000,23797.96
2015-03-11,23807.10,23899.86,23703.84,23717.97,1678330400,23717.97
2015-03-10,24150.68,24152.40,23869.82,23896.98,1521299200,23896.98
2015-03-09,23982.50,24205.86,23910.16,24123.05,1619496400,24123.05
2015-03-06,24235.76,24294.36,24126.09,24164.00,1620647200,24164.00
2015-03-05,24274.90,24393.85,24133.71,24193.04,1923405000,24193.04
2015-03-04,24656.94,24705.96,24439.29,24465.38,1618240300,24465.38
2015-03-03,24984.62,24984.62,24663.43,24702.78,1499929300,24702.78
2015-03-02,24996.76,24997.83,24715.38,24887.44,1543093900,24887.44
2015-02-27,24902.61,25101.96,24815.03,24823.29,1504213700,24823.29
2015-02-26,24718.28,24998.64,24709.56,24902.06,1803456400,24902.06
2015-02-25,24822.28,24869.37,24691.78,24778.28,1387652700,24778.28
2015-02-24,24776.72,24808.30,24673.93,24750.07,1076322400,24750.07
2015-02-23,24916.24,24916.24,24664.68,24836.76,1019276400,24836.76
2015-02-18,24836.05,24871.79,24806.06,24832.08,975873900,24832.08
2015-02-17,24653.88,24855.75,24653.88,24784.88,822899900,24784.88
2015-02-16,24717.49,24771.60,24687.15,24726.53,926608300,24726.53
2015-02-13,24535.66,24702.54,24521.13,24682.54,1342650600,24682.54
2015-02-12,24377.59,24514.49,24226.29,24422.15,1472143500,24422.15
2015-02-11,24512.62,24551.74,24266.68,24315.02,1261415500,24315.02
2015-02-10,24475.04,24583.79,24422.85,24528.10,1028014100,24528.10
2015-02-09,24529.55,24657.87,24449.48,24521.00,1285537200,24521.00
2015-02-06,24843.20,24843.20,24645.76,24679.39,1440536200,24679.39
2015-02-05,25048.26,25048.26,24642.81,24765.49,2343789600,24765.49
2015-02-04,24750.76,24824.58,24642.50,24679.76,1836282000,24679.76
2015-02-03,24542.49,24602.60,24327.51,24554.78,1552841000,24554.78
2015-02-02,24347.27,24506.81,24324.37,24484.74,1576244000,24484.74
2015-01-30,24771.37,24771.37,24450.05,24507.05,1438942200,24507.05
2015-01-29,24645.20,24739.22,24524.18,24595.85,1864023200,24595.85
2015-01-28,24799.98,24983.89,24716.68,24861.81,1361037100,24861.81
2015-01-27,24995.08,24995.08,24672.76,24807.28,1705133000,24807.28
2015-01-26,24907.19,24916.49,24761.55,24909.90,1321615900,24909.90
2015-01-23,24807.36,24896.22,24726.77,24850.45,2375624000,24850.45
2015-01-22,24480.02,24589.62,24438.98,24522.63,1679836000,24522.63
2015-01-21,24036.41,24373.28,24016.63,24352.58,1843495600,24352.58
2015-01-20,23798.46,23997.31,23747.92,23951.16,1632662200,23951.16
2015-01-19,23971.23,24049.55,23590.05,23738.49,2945751200,23738.49
2015-01-16,24196.85,24253.09,24086.21,24103.52,1716809600,24103.52
2015-01-15,24169.35,24369.00,24070.39,24350.91,1754036200,24350.91
2015-01-14,24276.33,24326.70,24056.22,24112.60,1508206900,24112.60
2015-01-13,23908.23,24254.11,23908.23,24215.97,1393185700,24215.97
2015-01-12,24118.59,24118.59,23905.01,24026.46,1414586900,24026.46
2015-01-09,24049.70,24169.06,23859.49,23919.95,2334809800,23919.95
2015-01-08,23920.35,23941.64,23719.05,23835.53,2011642800,23835.53
2015-01-07,23396.70,23715.71,23332.03,23681.26,2181069600,23681.26
2015-01-06,23515.13,23611.00,23312.50,23485.41,2617976800,23485.41
2015-01-05,23699.19,23998.87,23655.52,23721.32,2585193200,23721.32
2015-01-02,23699.20,23998.90,23655.50,23721.30,1801713200,23721.30
2014-12-31,23480.81,23632.35,23464.25,23605.04,1049000500,23605.04
2014-12-30,23853.13,23853.13,23442.55,23501.10,1768219600,23501.10
2014-12-29,23694.53,23867.46,23694.53,23773.18,2133261200,23773.18
2014-12-24,23290.42,23421.10,23290.42,23349.34,740670200,23349.34
2014-12-23,23423.33,23495.62,23269.43,23333.69,1758917200,23333.69
2014-12-22,23264.05,23478.90,23264.05,23408.57,2999590400,23408.57
2014-12-19,23158.27,23189.60,23041.37,23116.63,2309125200,23116.63
2014-12-18,22878.34,22935.05,22736.89,22832.21,2306262800,22832.21
2014-12-17,22697.68,22726.56,22529.75,22585.84,2560931200,22585.84
2014-12-16,22877.30,22944.28,22641.06,22670.50,2158881200,22670.50
2014-12-15,22977.84,23067.67,22856.02,23027.85,1660208200,23027.85
2014-12-12,23328.99,23445.96,23230.03,23249.20,1641040200,23249.20
2014-12-11,23269.51,23382.83,23169.67,23312.54,2425752400,23312.54
2014-12-10,23442.69,23656.51,23345.89,23524.52,2306279600,23524.52
2014-12-09,23910.41,23934.02,23399.87,23485.83,3871778400,23485.83
2014-12-08,24113.14,24189.59,24012.15,24047.67,3826528800,24047.67
2014-12-05,23907.78,24170.05,23772.84,24002.64,5025800800,24002.64
2014-12-04,23554.81,23844.24,23456.71,23832.56,3561982000,23832.56
2014-12-03,23756.05,23921.76,23378.81,23428.62,3224756000,23428.62
2014-12-02,23400.11,23784.95,23293.81,23654.30,2843136400,23654.30
2014-12-01,23678.00,23731.76,23318.48,23367.45,3135486800,23367.45
2014-11-28,23982.29,24117.16,23887.63,23987.45,3154786600,23987.45
2014-11-27,24169.85,24228.11,23962.44,24004.28,1813709000,24004.28
2014-11-26,23833.19,24176.64,23799.42,24111.98,2225233000,24111.98
2014-11-25,23841.16,23935.07,23809.51,23843.91,2083502400,23843.91
2014-11-24,23883.32,23936.34,23823.56,23893.14,2862178800,23893.14
2014-11-21,23353.72,23508.02,23301.48,23437.12,1519033000,23437.12
2014-11-20,23401.00,23461.02,23252.63,23349.64,1354803900,23349.64
2014-11-19,23466.07,23572.21,23341.16,23373.31,1413766400,23373.31
2014-11-18,23868.90,23881.01,23483.19,23529.17,1543729000,23529.17
2014-11-17,24313.06,24313.06,23787.28,23797.08,1728117200,23797.08
2014-11-14,24048.36,24102.70,23966.80,24087.38,1489760000,24087.38
2014-11-13,23854.33,24097.92,23850.39,24019.94,2063618400,24019.94
2014-11-12,23883.31,23999.97,23801.73,23938.18,1788489800,23938.18
2014-11-11,23809.41,23931.45,23760.53,23808.28,3418160000,23808.28
2014-11-10,24074.85,24110.24,23703.72,23744.70,1974456400,23744.70
2014-11-07,23607.65,23831.25,23430.20,23550.24,1609859600,23550.24
2014-11-06,23737.76,23775.73,23623.41,23649.31,1055438900,23649.31
2014-11-05,23846.84,23846.84,23623.14,23695.62,1357402800,23695.62
2014-11-04,23849.72,24016.42,23815.85,23845.66,1317633400,23845.66
2014-11-03,24133.45,24133.45,23875.09,23915.97,1328913600,23915.97
2014-10-31,23913.69,24046.40,23850.70,23998.06,2057439600,23998.06
2014-10-30,23841.74,23841.74,23615.10,23702.04,1606507400,23702.04
2014-10-29,23703.95,23855.67,23699.56,23819.87,2017536000,23819.87
2014-10-28,23189.83,23570.92,23189.83,23520.36,1889124800,23520.36
2014-10-27,23275.40,23275.40,23012.80,23143.23,1229644700,23143.23
2014-10-24,23311.88,23352.59,23157.48,23302.20,1201348100,23302.20
2014-10-23,23296.00,23397.17,23221.69,23333.18,1038977500,23333.18
2014-10-22,23300.45,23460.77,23193.48,23403.97,1732875600,23403.97
2014-10-21,23073.36,23231.52,22964.92,23088.58,1026480700,23088.58
2014-10-20,23239.78,23290.42,23052.31,23070.26,1182134200,23070.26
2014-10-17,22904.11,23148.96,22888.76,23023.21,1853604000,23023.21
2014-10-16,22913.50,23040.31,22868.02,22900.94,1533465700,22900.94
2014-10-15,23087.50,23238.04,22992.93,23140.05,1444933800,23140.05
2014-10-14,23064.92,23409.96,23040.80,23047.97,1526000000,23047.97
2014-10-13,22884.00,23273.04,22871.27,23143.38,1407205100,23143.38
2014-10-10,23198.80,23237.40,23071.27,23088.54,1401319800,23088.54
2014-10-09,23461.35,23581.35,23437.87,23534.53,1126451700,23534.53
2014-10-08,23221.76,23369.39,23184.15,23263.33,1253137400,23263.33
2014-10-07,23224.22,23517.85,23209.77,23422.52,1635901200,23422.52
2014-10-06,23053.79,23441.27,22988.64,23315.04,1643058200,23315.04
2014-10-03,22691.59,23147.85,22565.60,23064.56,2577564200,23064.56
2014-09-30,23137.26,23137.26,22855.04,22932.98,2189776800,22932.98
2014-09-29,23399.51,23399.51,23095.78,23229.21,2230550000,23229.21
2014-09-26,23581.56,23717.08,23555.62,23678.41,1341458700,23678.41
2014-09-25,24048.38,24058.02,23754.33,23768.13,1573165300,23768.13
2014-09-24,23788.98,24016.41,23788.98,23921.61,1368936900,23921.61
2014-09-23,23882.59,24012.06,23825.96,23837.07,1417171900,23837.07
2014-09-22,24072.18,24082.62,23949.29,23955.49,1723753000,23955.49
2014-09-19,24334.65,24419.85,24155.62,24306.16,1924823200,24306.16
2014-09-18,24294.64,24294.64,24103.53,24168.72,1459432200,24168.72
2014-09-17,24380.28,24470.26,24339.53,24376.41,1793779800,24376.41
2014-09-16,24318.82,24405.98,24117.60,24136.01,1282321900,24136.01
2014-09-15,24410.38,24471.80,24300.57,24356.99,1479611400,24356.99
2014-09-12,24620.19,24701.43,24487.94,24595.32,1233952200,24595.32
2014-09-11,24701.73,24782.95,24589.90,24662.64,1443804300,24662.64
2014-09-10,24969.39,24969.39,24681.19,24705.36,1748442400,24705.36
2014-09-08,25293.09,25293.09,25074.02,25190.45,1272235200,25190.45
2014-09-05,25356.56,25356.56,25171.59,25240.15,2163836000,25240.15
2014-09-04,25268.44,25362.98,25193.37,25297.92,1980862400,25297.92
2014-09-03,24786.04,25325.16,24751.72,25317.95,2535276000,25317.95
2014-09-02,24699.76,24816.89,24576.23,24749.02,1646363800,24749.02
2014-09-01,24703.74,24891.27,24696.18,24752.09,1447773700,24752.09
2014-08-29,24748.19,24814.27,24630.80,24742.06,1711541400,24742.06
2014-08-28,25055.81,25055.81,24679.10,24741.00,1533360500,24741.00
2014-08-27,25134.49,25160.68,24883.46,24918.75,1468393800,24918.75
