Date,Open,High,Low,Close,Volume,Adj Close
2015-04-01,37.00,37.30,36.70,37.10,2928200,36.31
2015-03-31,36.75,36.95,36.50,36.90,4479300,36.11
2015-03-30,36.35,36.80,36.35,36.75,4191400,35.97
2015-03-27,36.65,36.65,36.15,36.30,4437600,35.53
2015-03-26,36.25,36.50,36.20,36.40,2210200,35.62
2015-03-25,36.30,36.55,36.05,36.50,2299100,35.72
2015-03-24,35.80,36.30,35.55,36.20,3395700,35.43
2015-03-23,36.05,36.30,35.55,35.80,2108100,35.04
2015-03-20,35.95,36.25,35.80,36.05,3273600,35.28
2015-03-19,35.20,36.00,35.20,35.90,2681200,35.14
2015-03-18,35.20,35.50,35.05,35.40,3075400,34.65
2015-03-17,35.50,35.65,35.05,35.15,5461300,34.40
2015-03-16,35.10,35.40,34.80,34.90,3007400,34.16
2015-03-13,35.10,35.60,35.10,35.45,3311300,34.69
2015-03-12,35.35,35.75,35.10,35.25,3794700,34.50
2015-03-11,34.35,35.10,34.35,35.10,2582900,34.35
2015-03-10,34.55,34.95,34.35,34.80,4832300,34.06
2015-03-09,34.10,34.40,34.00,34.15,4215500,33.42
2015-03-06,34.55,34.70,34.15,34.20,3525200,33.47
2015-03-05,34.30,34.75,34.20,34.60,4849400,33.86
2015-03-04,35.50,35.75,34.75,34.80,3908000,34.06
2015-03-03,35.45,35.95,35.40,35.55,2401300,34.79
2015-03-02,36.20,36.20,35.15,35.55,3675300,34.79
2015-02-27,35.90,36.50,35.90,36.00,2588000,35.23
2015-02-26,36.20,36.50,35.85,35.95,3478400,35.18
2015-02-25,36.00,36.85,35.80,36.10,4738300,35.33
2015-02-24,35.90,35.95,35.60,35.85,2604900,35.09
2015-02-23,35.75,36.00,34.95,35.95,3701700,35.18
2015-02-20,34.85,34.85,34.85,34.85,000,34.11
2015-02-19,34.85,34.85,34.85,34.85,000,34.11
2015-02-18,34.95,35.20,34.85,34.85,1434800,34.11
2015-02-17,34.75,35.25,34.75,35.20,1953600,34.45
2015-02-16,35.30,35.30,34.70,34.95,2884300,34.21
2015-02-13,34.75,35.20,34.50,35.20,4477500,34.45
2015-02-12,34.20,34.75,34.20,34.75,2442100,34.01
